"","D","W","ll","copula","params1","params2"
"1","256","64","0","Independent",NA,NA
"2","256","64","20.1990272870485","normalCopula","-0.1851979488497",NA
"3","256","64","3.42412962234491","claytonCopula","-0.0206136133236644",NA
"4","256","64","-5.40317826960954e-06","gumbelCopula","1.00000001490116",NA
"5","256","64","-Inf","galambosCopula",NA,NA
"6","256","64","-Inf","huslerReissCopula",NA,NA
"7","256","64","-Inf","tevCopula",NA,NA
"8","256","64","20.1862374044347","tCopula","-0.185184144385552","4165.12359004864"
"9","256","64","-5.5032268375891e-06","rot gumbelCopula","1.00000001490116",NA
"10","256","64","-Inf","rot galambosCopula",NA,NA
"11","256","64","-Inf","rot huslerReissCopula",NA,NA
"12","256","96","0","Independent",NA,NA
"13","256","96","0.182199093672487","normalCopula","-0.0177589833192187",NA
"14","256","96","0.00490897247253769","claytonCopula","-0.00288588361019318",NA
"15","256","96","-6.48908067285656e-07","gumbelCopula","1.00000001490116",NA
"16","256","96","-Inf","galambosCopula",NA,NA
"17","256","96","-Inf","huslerReissCopula",NA,NA
"18","256","96","-Inf","tevCopula",NA,NA
"19","256","96","0.590059837065942","tCopula","-0.0184766565047534","37.070367578035"
"20","256","96","-6.27581436474928e-07","rot gumbelCopula","1.00000001490116",NA
"21","256","96","-Inf","rot galambosCopula",NA,NA
"22","256","96","-Inf","rot huslerReissCopula",NA,NA
"23","256","128","0","Independent",NA,NA
"24","256","128","0.634035881008313","normalCopula","0.0331296077674286",NA
"25","256","128","-0.0751627048111813","claytonCopula","0.0676527463900045",NA
"26","256","128","0.301472229748561","gumbelCopula","1.01443306347027",NA
"27","256","128","-1.87748705688368e-11","galambosCopula","0.0265888472855781",NA
"28","256","128","-1.01846420746567e-10","huslerReissCopula","0.149744862805374",NA
"29","256","128","2.28762654157877","tevCopula","-0.934032085284361","0.456129943910485"
"30","256","128","0.643187388870661","tCopula","0.0336345390804276","211.616748219594"
"31","256","128","0.285715511970389","rot gumbelCopula","1.01276669456914",NA
"32","256","128","0.54242498986037","rot galambosCopula","0.178389231899723",NA
"33","256","128","0.576663386260291","rot huslerReissCopula","0.433525023231365",NA
"34","512","64","0","Independent",NA,NA
"35","512","64","2.19588972752978","normalCopula","-0.0615841611995718",NA
"36","512","64","4.74948374058975","claytonCopula","-0.0675911186196971",NA
"37","512","64","-2.30216416289918e-06","gumbelCopula","1.00000001490116",NA
"38","512","64","-Inf","galambosCopula",NA,NA
"39","512","64","-Inf","huslerReissCopula",NA,NA
"40","512","64","-Inf","tevCopula",NA,NA
"41","512","64","2.18981436627388","tCopula","-0.0615786602391943","16620.065673588"
"42","512","64","-2.93139078311015e-06","rot gumbelCopula","1.00000001490116",NA
"43","512","64","-Inf","rot galambosCopula",NA,NA
"44","512","64","-Inf","rot huslerReissCopula",NA,NA
"45","512","96","0","Independent",NA,NA
"46","512","96","0.589432245317666","normalCopula","-0.0319325253624976",NA
"47","512","96","0.363972015611787","claytonCopula","-0.0237064224609479",NA
"48","512","96","-1.39495549019678e-06","gumbelCopula","1.00000001490116",NA
"49","512","96","-Inf","galambosCopula",NA,NA
"50","512","96","-Inf","huslerReissCopula",NA,NA
"51","512","96","-Inf","tevCopula",NA,NA
"52","512","96","0.58923130421889","tCopula","-0.0319362292292807","37539.8529037112"
"53","512","96","-3.72280982694146e-07","rot gumbelCopula","1.00000001490116",NA
"54","512","96","-Inf","rot galambosCopula",NA,NA
"55","512","96","-Inf","rot huslerReissCopula",NA,NA
"56","512","128","0","Independent",NA,NA
"57","512","128","0.992604320211402","normalCopula","-0.0414355915466828",NA
"58","512","128","0.183984895836331","claytonCopula","-0.0184288533946894",NA
"59","512","128","-6.75861660657216e-07","gumbelCopula","1.00000001490116",NA
"60","512","128","-Inf","galambosCopula",NA,NA
"61","512","128","-Inf","huslerReissCopula",NA,NA
"62","512","128","-Inf","tevCopula",NA,NA
"63","512","128","1.56303709150001","tCopula","-0.0420116876017367","24.8984009459019"
"64","512","128","-5.19683468700079e-07","rot gumbelCopula","1.00000001490116",NA
"65","512","128","-Inf","rot galambosCopula",NA,NA
"66","512","128","-Inf","rot huslerReissCopula",NA,NA
"67","1024","64","0","Independent",NA,NA
"68","1024","64","1.07741076178587","normalCopula","-0.043160019742552",NA
"69","1024","64","3.04084945253877","claytonCopula","-0.0707337383368302",NA
"70","1024","64","-1.05628763715556e-06","gumbelCopula","1.00000001490116",NA
"71","1024","64","-Inf","galambosCopula",NA,NA
"72","1024","64","-Inf","huslerReissCopula",NA,NA
"73","1024","64","-Inf","tevCopula",NA,NA
"74","1024","64","1.07578926304002","tCopula","-0.04319677012359","3005.78759636365"
"75","1024","64","-2.17908343955143e-06","rot gumbelCopula","1.00000001490116",NA
"76","1024","64","-Inf","rot galambosCopula",NA,NA
"77","1024","64","-Inf","rot huslerReissCopula",NA,NA
"78","1024","96","0","Independent",NA,NA
"79","1024","96","0.401909769154312","normalCopula","-0.0263696594067456",NA
"80","1024","96","0.584305535543024","claytonCopula","-0.0333275249592151",NA
"81","1024","96","-3.64375997282556e-07","gumbelCopula","1.00000001490116",NA
"82","1024","96","-Inf","galambosCopula",NA,NA
"83","1024","96","-Inf","huslerReissCopula",NA,NA
"84","1024","96","-Inf","tevCopula",NA,NA
"85","1024","96","0.45331049927373","tCopula","-0.0264459023128457","88.8863657872645"
"86","1024","96","-7.60215279390491e-07","rot gumbelCopula","1.00000001490116",NA
"87","1024","96","-Inf","rot galambosCopula",NA,NA
"88","1024","96","-Inf","rot huslerReissCopula",NA,NA
"89","1024","128","0","Independent",NA,NA
"90","1024","128","0.00921347267208472","normalCopula","0.00399337049121817",NA
"91","1024","128","-1.59644316580141","claytonCopula","0.0238459000755612",NA
"92","1024","128","0.0105408136183014","gumbelCopula","1.00246436447323",NA
"93","1024","128","0.188648950241047","galambosCopula","0.158914854962909",NA
"94","1024","128","0.214616299043442","huslerReissCopula","0.406221508038136",NA
"95","1024","128","0.200781664194225","tevCopula","0.701424174450807","37.3911095467667"
"96","1024","128","0.00282972272852478","tCopula","0.00400434654043837","7244.87218475836"
"97","1024","128","-1.34090430579156e-06","rot gumbelCopula","1.00000001490116",NA
"98","1024","128","-1.99441574367406e-11","rot galambosCopula","0.0239898787496708",NA
"99","1024","128","-1.36973765663471e-11","rot huslerReissCopula","0.136012822616794",NA
"100","1408","64","0","Independent",NA,NA
"101","1408","64","6.35533069631172","normalCopula","-0.104556964971042",NA
"102","1408","64","0.659443748059727","claytonCopula","-0.128418901461134",NA
"103","1408","64","-2.58056668968223e-06","gumbelCopula","1.00000001490116",NA
"104","1408","64","-Inf","galambosCopula",NA,NA
"105","1408","64","-Inf","huslerReissCopula",NA,NA
"106","1408","64","-Inf","tevCopula",NA,NA
"107","1408","64","6.49010304808202","tCopula","-0.105350490949044","50.6025078483463"
"108","1408","64","-2.21522079537511e-06","rot gumbelCopula","1.00000001490116",NA
"109","1408","64","-Inf","rot galambosCopula",NA,NA
"110","1408","64","-Inf","rot huslerReissCopula",NA,NA
"111","1408","96","0","Independent",NA,NA
"112","1408","96","0.0579256257951977","normalCopula","-0.0100127785076082",NA
"113","1408","96","-0.387256966414791","claytonCopula","0.0115538277720654",NA
"114","1408","96","-2.75948700347766e-07","gumbelCopula","1.00000001490116",NA
"115","1408","96","-8.78186412486042e-12","galambosCopula","0.0239669117804745",NA
"116","1408","96","4.10782519111306e-15","huslerReissCopula","0.103296419337521",NA
"117","1408","96","-Inf","tevCopula",NA,NA
"118","1408","96","0.0574623948784247","tCopula","-0.0100018022019226","12259.5706544563"
"119","1408","96","-6.20081644283135e-07","rot gumbelCopula","1.00000001490116",NA
"120","1408","96","-8.58579873864767e-12","rot galambosCopula","0.0232313724739643",NA
"121","1408","96","-2.65343302885413e-14","rot huslerReissCopula","0.0106010261168964",NA
"122","1408","128","0","Independent",NA,NA
"123","1408","128","0.0221417446313361","normalCopula","-0.0061906551078747",NA
"124","1408","128","0.62250271829189","claytonCopula","0.0329024642130475",NA
"125","1408","128","-5.19348729150794e-07","gumbelCopula","1.00000001490116",NA
"126","1408","128","-1.89126492244967e-12","galambosCopula","0.0220655409041405",NA
"127","1408","128","-1.07219788603396e-11","huslerReissCopula","0.134958838758839",NA
"128","1408","128","-Inf","tevCopula",NA,NA
"129","1408","128","3.43624880343266","tCopula","-0.000104848399713916","12.127486295073"
"130","1408","128","1.0939467695063","rot gumbelCopula","1.01799353686605",NA
"131","1408","128","0.764351811136681","rot galambosCopula","0.180455354583147",NA
"132","1408","128","0.696532400092761","rot huslerReissCopula","0.430764524462347",NA
