"","ID","W","ll","copula","params1","params2"
"1","8","0.299334811529933","0","Independent",NA,NA
"2","8","0.299334811529933","23.3310984675652","normalCopula","-0.336492171169435",NA
"3","8","0.299334811529933","5.72757382338208","claytonCopula","-0.129010888980199",NA
"4","8","0.299334811529933","-3.00900301361388e-06","gumbelCopula","1.00000001490116",NA
"5","8","0.299334811529933","-Inf","galambosCopula",NA,NA
"6","8","0.299334811529933","-Inf","huslerReissCopula",NA,NA
"7","8","0.299334811529933","-Inf","tevCopula",NA,NA
"8","8","0.299334811529933","24.2907717351766","tCopula","-0.342959372628441","11.3611553440307"
"9","8","0.299334811529933","-2.33246560453135e-06","rot gumbelCopula","1.00000001490116",NA
"10","8","0.299334811529933","-Inf","rot galambosCopula",NA,NA
"11","8","0.299334811529933","-Inf","rot huslerReissCopula",NA,NA
"12","8","0.498891352549889","0","Independent",NA,NA
"13","8","0.498891352549889","2.69447385656485","normalCopula","0.119286016721215",NA
"14","8","0.498891352549889","-2.77081487756546","claytonCopula","0.245506378131284",NA
"15","8","0.498891352549889","2.20757852411048","gumbelCopula","1.07517059533959",NA
"16","8","0.498891352549889","2.69779219629883","galambosCopula","0.300440958326715",NA
"17","8","0.498891352549889","2.8612959897073","huslerReissCopula","0.613014757675394",NA
"18","8","0.498891352549889","2.81118253956742","tevCopula","0.889412758577631","46.5078230578633"
"19","8","0.498891352549889","2.69407438498245","tCopula","0.119558800278265","13475.9973263752"
"20","8","0.498891352549889","1.36131627847556","rot gumbelCopula","1.06361740971647",NA
"21","8","0.498891352549889","0.519250727551398","rot galambosCopula","0.239673999595803",NA
"22","8","0.498891352549889","0.37651264551369","rot huslerReissCopula","0.500641305675273",NA
"23","6.01680828768655","1.19733924611973","0","Independent",NA,NA
"24","6.01680828768655","1.19733924611973","8.844108194044","normalCopula","-0.213147504836474",NA
"25","6.01680828768655","1.19733924611973","10.4301849481281","claytonCopula","-0.155953945233968",NA
"26","6.01680828768655","1.19733924611973","-1.10838416197837e-06","gumbelCopula","1.00000001490116",NA
"27","6.01680828768655","1.19733924611973","-Inf","galambosCopula",NA,NA
"28","6.01680828768655","1.19733924611973","-Inf","huslerReissCopula",NA,NA
"29","6.01680828768655","1.19733924611973","-Inf","tevCopula",NA,NA
"30","6.01680828768655","1.19733924611973","21.2027405979556","tCopula","-0.104968317425586","2.43210443013344"
"31","6.01680828768655","1.19733924611973","-1.60209717542034e-06","rot gumbelCopula","1.00000001490116",NA
"32","6.01680828768655","1.19733924611973","-Inf","rot galambosCopula",NA,NA
"33","6.01680828768655","1.19733924611973","-Inf","rot huslerReissCopula",NA,NA
"34","6.01680828768655","1.99556541019956","0","Independent",NA,NA
"35","6.01680828768655","1.99556541019956","6.18384318707596","normalCopula","0.177969531937509",NA
"36","6.01680828768655","1.99556541019956","-2.5477056148726","claytonCopula","0.3419943588301",NA
"37","6.01680828768655","1.99556541019956","10.5563309904086","gumbelCopula","1.16664001412175",NA
"38","6.01680828768655","1.99556541019956","9.08539780944801","galambosCopula","0.397675338106779",NA
"39","6.01680828768655","1.99556541019956","8.23041866003069","huslerReissCopula","0.714779799421102",NA
"40","6.01680828768655","1.99556541019956","11.8388084638778","tevCopula","-0.145894462002156","1.31313544438749"
"41","6.01680828768655","1.99556541019956","10.2258190142141","tCopula","0.191325205282149","5.02945056337306"
"42","6.01680828768655","1.99556541019956","2.73650011694752","rot gumbelCopula","1.09079582378624",NA
"43","6.01680828768655","1.99556541019956","3.06979162104772","rot galambosCopula","0.313154257693958",NA
"44","6.01680828768655","1.99556541019956","3.17676637843137","rot huslerReissCopula","0.625404633733661",NA
"45","4","5.08869179600887","0","Independent",NA,NA
"46","4","5.08869179600887","22.2618136426174","normalCopula","0.327882605277998",NA
"47","4","5.08869179600887","54.8655274658803","claytonCopula","0.752186489502418",NA
"48","4","5.08869179600887","3.93548354958119","gumbelCopula","1.11533141551975",NA
"49","4","5.08869179600887","5.29521629826495","galambosCopula","0.36519595009022",NA
"50","4","5.08869179600887","5.71182286847906","huslerReissCopula","0.704259548456631",NA
"51","4","5.08869179600887","5.64177170691798","tevCopula","0.945152240514854","72.3170463426194"
"52","4","5.08869179600887","22.2582818714442","tCopula","0.327837644540277","5143.88072553744"
"53","4","5.08869179600887","41.6534455555382","rot gumbelCopula","1.31220795384237",NA
"54","4","5.08869179600887","43.390448443393","rot galambosCopula","0.598123352660274",NA
"55","4","5.08869179600887","44.3632852019199","rot huslerReissCopula","1.0119085981275",NA
"56","4","8.48115299334811","0","Independent",NA,NA
"57","4","8.48115299334811","56.6365927822548","normalCopula","0.498913833480305",NA
"58","4","8.48115299334811","54.1703012180842","claytonCopula","0.869865893781299",NA
"59","4","8.48115299334811","57.5910323133921","gumbelCopula","1.46644428372367",NA
"60","4","8.48115299334811","55.1124876659798","galambosCopula","0.741418969994201",NA
"61","4","8.48115299334811","50.0020887106566","huslerReissCopula","1.10009511561234",NA
"62","4","8.48115299334811","60.1255202650977","tevCopula","0.495230611737944","1.89236280218253"
"63","4","8.48115299334811","63.4979537954026","tCopula","0.473072315253536","3.64445179877128"
"64","4","8.48115299334811","59.4499705333301","rot gumbelCopula","1.47386993567719",NA
"65","4","8.48115299334811","59.9692300547193","rot galambosCopula","0.748921421681837",NA
"66","4","8.48115299334811","59.8807977404856","rot huslerReissCopula","1.16522072481192",NA
"67","2","25.4434589800443","0","Independent",NA,NA
"68","2","25.4434589800443","73.6183000406487","normalCopula","0.629836099242029",NA
"69","2","25.4434589800443","67.5406291574579","claytonCopula","1.93490205289332",NA
"70","2","25.4434589800443","79.1422177406754","gumbelCopula","1.79897506559411",NA
"71","2","25.4434589800443","75.4187034433754","galambosCopula","1.07881788233147",NA
"72","2","25.4434589800443","61.2329562091216","huslerReissCopula","1.34925821088355",NA
"73","2","25.4434589800443","86.1118538601331","tevCopula","0.732788948534414","1.96643398432682"
"74","2","25.4434589800443","96.8758451737777","tCopula","0.669352277748186","3.22527230107744"
"75","2","25.4434589800443","87.4634017144937","rot gumbelCopula","1.84199471248075",NA
"76","2","25.4434589800443","85.5429804390801","rot galambosCopula","1.12084600151987",NA
"77","2","25.4434589800443","79.145686906024","rot huslerReissCopula","1.50399323857393",NA
"78","2","42.4057649667406","0","Independent",NA,NA
"79","2","42.4057649667406","50.3186289742272","normalCopula","0.649061912369367",NA
"80","2","42.4057649667406","28.0926699572808","claytonCopula","1.80958823000511",NA
"81","2","42.4057649667406","61.833712727578","gumbelCopula","1.92884342767802",NA
"82","2","42.4057649667406","59.0115132847406","galambosCopula","1.21651048432173",NA
"83","2","42.4057649667406","49.4727037951946","huslerReissCopula","1.499724964831",NA
"84","2","42.4057649667406","68.6038048800018","tevCopula","0.69783602021711","1.35012432255135"
"85","2","42.4057649667406","61.9867450996421","tCopula","0.666816460929062","2.59211631982025"
"86","2","42.4057649667406","48.6231522023753","rot gumbelCopula","1.77308431117876",NA
"87","2","42.4057649667406","47.8158666332516","rot galambosCopula","1.03956059300195",NA
"88","2","42.4057649667406","46.6327422602487","rot huslerReissCopula","1.46667779992909",NA
"89",NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA
